Name,Mid1,Mid2,EndSem,Attendance,FinancialCondition,MaritalStatus,FatherQualification,MotherQualification,MotherJobRole,FatherJobRole,Stream,CourseName,Dropout_Risk,RiskLevel
Anika Kapoor,78,35,36,70,Low,Married,Graduate,No formal education,Manager,Clerk,Biotech,BA,0.45,Medium
Vikas Chopra,55,61,81,58,Low,Married,Secondary,No formal education,Clerk,Business,Biotech,M.Tech,0.45,Medium
Manish Agarwal,46,29,29,93,Low,Single,No formal education,Primary,Laborer,Manager,ECE,BA,0.65,Medium
Rakesh Menon,33,63,46,97,High,Married,Secondary,Graduate,Farmer,Teacher,ECE,B.Sc,0.25,Low
Amit Menon,66,69,77,95,Low,Married,Primary,No formal education,Laborer,Engineer,ECE,M.Tech,0.3,Low
Anika Das,59,93,33,48,Medium,Single,No formal education,Primary,Manager,Unemployed,ECE,B.Com,0.55,Medium
Priya Reddy,23,80,87,87,Medium,Married,No formal education,Postgraduate,Business,Farmer,Civil,B.Sc,0.2,Low
Saanvi Mehta,39,70,84,85,High,Married,No formal education,Graduate,Business,Engineer,CSE,B.Tech,0.1,Low
Kritika Chopra,68,74,44,67,Low,Married,Primary,Postgraduate,Manager,Engineer,Electrical,BA,0.3,Low
Aarav Sharma,33,26,51,44,Low,Single,No formal education,No formal education,Clerk,Engineer,CSE,MBA,1.0,High
Aarav Sharma,32,55,48,81,Medium,Married,No formal education,Primary,Manager,Engineer,ECE,B.Sc,0.35,Low
Krishna Kumar,46,64,56,66,High,Single,No formal education,Primary,Engineer,Manager,IT,M.Tech,0.25,Low
Suresh Singh,50,41,60,38,Low,Single,Secondary,Graduate,Unemployed,Teacher,Biotech,BA,0.8,High
Pari Nair,74,62,22,52,Medium,Single,Primary,No formal education,Manager,Business,Electrical,B.Tech,0.5,Medium
Kritika Singh,82,51,80,44,Low,Single,Postgraduate,Secondary,Teacher,Clerk,IT,B.Sc,0.65,Medium
Pooja Reddy,32,32,58,72,Medium,Married,Secondary,Postgraduate,Manager,Engineer,Mechanical,B.Com,0.35,Low
Vivaan Rao,78,21,65,68,High,Married,Postgraduate,Postgraduate,Farmer,Manager,Mechanical,M.Tech,0.25,Low
Ira Mishra,86,22,38,82,Low,Single,Secondary,Graduate,Clerk,Unemployed,Electrical,M.Tech,0.45,Medium
Diya Kumar,75,66,46,41,Low,Married,No formal education,Secondary,Teacher,Manager,Mechanical,M.Tech,0.65,Medium
Diya Gupta,64,62,70,83,Medium,Married,Primary,No formal education,Farmer,Business,Civil,BA,0.2,Low
Rahul Agarwal,92,64,56,44,Low,Married,Primary,Graduate,Engineer,Teacher,Electrical,MBA,0.65,Medium
Myra Yadav,40,58,82,66,Low,Married,No formal education,Graduate,Clerk,Unemployed,Mechanical,MBA,0.3,Low
Neha Das,35,26,82,69,Low,Married,Secondary,No formal education,Engineer,Unemployed,ECE,B.Com,0.45,Medium
Ananya Gupta,56,84,91,49,Low,Married,Primary,Primary,Farmer,Laborer,Mechanical,B.Sc,0.65,Medium
Aadhya Yadav,24,80,65,61,High,Married,Graduate,Graduate,Engineer,Farmer,Mechanical,MBA,0.4,Low
Saanvi Kapoor,59,42,92,85,High,Married,Postgraduate,Primary,Engineer,Clerk,ECE,BA,0.1,Low
Aditya Reddy,90,45,58,69,Low,Married,Postgraduate,Graduate,Laborer,Teacher,IT,BA,0.3,Low
Karan Singh,32,37,87,86,High,Married,Postgraduate,Secondary,Business,Manager,Civil,BA,0.25,Low
Krishna Rao,73,72,79,33,High,Single,Graduate,No formal education,Engineer,Teacher,IT,B.Sc,0.45,Medium
Pooja Menon,94,85,67,46,High,Married,No formal education,Graduate,Laborer,Teacher,Biotech,B.Tech,0.45,Medium
Varun Nair,79,86,78,36,Low,Single,Secondary,No formal education,Farmer,Business,IT,B.Com,0.65,Medium
Riya Das,92,81,62,37,Low,Single,Primary,Postgraduate,Manager,Teacher,ECE,B.Sc,0.65,Medium
Vikas Patel,39,58,100,69,High,Single,Graduate,Postgraduate,Farmer,Clerk,CSE,B.Tech,0.1,Low
Aditya Verma,39,97,35,96,Low,Single,Primary,No formal education,Unemployed,Manager,IT,MBA,0.45,Medium
Aditya Sharma,76,70,27,45,Medium,Married,Graduate,Primary,Engineer,Clerk,IT,MBA,0.7000000000000001,High
Siddharth Malhotra,76,98,35,85,Low,Single,Primary,Primary,Teacher,Clerk,Electrical,M.Tech,0.3,Low
Sai Reddy,89,45,80,91,Medium,Married,No formal education,Postgraduate,Business,Manager,Biotech,B.Com,0.2,Low
Sakshi Menon,70,69,33,89,Medium,Married,Primary,No formal education,Manager,Engineer,CSE,MBA,0.35,Low
Ananya Singh,69,21,94,68,Low,Married,No formal education,Secondary,Manager,Teacher,Biotech,BA,0.3,Low
Pooja Malhotra,55,21,40,75,High,Single,Secondary,Postgraduate,Farmer,Laborer,ECE,M.Tech,0.45,Medium
Ira Malhotra,39,65,92,73,Medium,Single,Secondary,Secondary,Farmer,Laborer,IT,M.Tech,0.2,Low
Aadhya Kumar,81,68,80,53,High,Married,Primary,Secondary,Laborer,Business,CSE,B.Tech,0.25,Low
Kiara Mishra,23,40,49,42,High,Single,Graduate,Graduate,Clerk,Business,IT,M.Tech,0.8,High
Anjali Patel,50,33,42,79,Medium,Single,No formal education,Postgraduate,Farmer,Engineer,CSE,M.Tech,0.35,Low
Prisha Verma,29,76,67,33,Low,Married,No formal education,Graduate,Teacher,Laborer,Biotech,MBA,0.8,High
Ishaan Menon,91,45,45,62,Medium,Married,Secondary,Primary,Teacher,Clerk,Civil,MBA,0.35,Low
Meera Menon,44,31,94,33,High,Single,Primary,No formal education,Unemployed,Teacher,Mechanical,BA,0.6000000000000001,Medium
Myra Patel,92,89,29,73,Low,Married,Primary,Primary,Business,Manager,Mechanical,MBA,0.3,Low
Rahul Iyer,91,37,28,86,Medium,Married,No formal education,Postgraduate,Teacher,Farmer,IT,MBA,0.35,Low
Siddharth Mishra,58,32,35,93,Low,Single,Postgraduate,Postgraduate,Unemployed,Business,ECE,B.Com,0.45,Medium
Vihaan Sharma,52,69,65,38,Low,Married,No formal education,Postgraduate,Engineer,Clerk,Civil,MBA,0.65,Medium
Kritika Rao,27,89,34,90,Medium,Single,No formal education,Secondary,Engineer,Laborer,ECE,B.Com,0.35,Low
Varun Rao,27,37,46,100,High,Married,No formal education,Primary,Farmer,Manager,IT,MBA,0.45,Medium
Karan Nair,98,24,64,39,Medium,Single,Postgraduate,Graduate,Engineer,Teacher,Biotech,B.Tech,0.55,Medium
Karan Reddy,33,24,83,94,Low,Married,Graduate,Graduate,Clerk,Engineer,CSE,B.Tech,0.45,Medium
Aadhya Reddy,23,45,88,78,High,Single,Postgraduate,Graduate,Laborer,Unemployed,IT,BA,0.25,Low
Kritika Yadav,36,75,74,100,Low,Single,Graduate,No formal education,Business,Business,ECE,B.Com,0.3,Low
Shreya Gupta,75,27,50,59,Low,Single,Primary,Graduate,Unemployed,Unemployed,IT,M.Tech,0.6000000000000001,Medium
Pari Rao,51,27,29,37,Low,Married,Primary,Secondary,Business,Unemployed,Mechanical,MBA,1.0,High
Vihaan Agarwal,51,57,36,80,Medium,Single,No formal education,No formal education,Clerk,Engineer,Civil,M.Tech,0.35,Low
Saanvi Singh,65,48,76,68,Medium,Married,Primary,Postgraduate,Business,Engineer,Biotech,MBA,0.2,Low
Anika Menon,84,33,26,74,Medium,Married,Secondary,No formal education,Teacher,Clerk,IT,MBA,0.35,Low
Riya Kapoor,49,59,90,56,Low,Married,Primary,No formal education,Manager,Clerk,Biotech,BA,0.45,Medium
Vivaan Reddy,34,22,83,34,Medium,Married,Postgraduate,Graduate,Farmer,Engineer,CSE,B.Com,0.7000000000000001,High
Pari Agarwal,98,69,83,32,Medium,Married,Graduate,No formal education,Clerk,Clerk,Civil,B.Sc,0.55,Medium
Sai Yadav,75,88,26,69,Low,Married,No formal education,Postgraduate,Engineer,Business,IT,MBA,0.3,Low
Kritika Iyer,47,23,63,85,Medium,Single,No formal education,Postgraduate,Engineer,Laborer,IT,MBA,0.35,Low
Kiara Reddy,79,74,93,96,Medium,Single,Graduate,Graduate,Teacher,Clerk,CSE,B.Com,0.2,Low
Shreya Chopra,55,30,51,99,Medium,Married,Postgraduate,Graduate,Engineer,Unemployed,Mechanical,B.Com,0.35,Low
Diya Malhotra,52,97,21,45,Medium,Married,Secondary,Primary,Manager,Manager,CSE,BA,0.7000000000000001,High
Myra Mehta,21,79,24,75,Medium,Single,Graduate,No formal education,Engineer,Farmer,Electrical,MBA,0.35,Low
Akash Singh,60,28,76,53,Medium,Married,Secondary,Graduate,Clerk,Teacher,Biotech,B.Sc,0.5,Medium
Rahul Nair,38,99,26,59,Low,Single,Primary,Postgraduate,Business,Manager,CSE,MBA,0.6000000000000001,Medium
Aditya Patel,49,27,53,62,Low,Married,Postgraduate,No formal education,Business,Clerk,CSE,B.Tech,0.6000000000000001,Medium
Neha Nair,84,76,34,95,Low,Single,Primary,Secondary,Laborer,Business,CSE,M.Tech,0.3,Low
Ira Yadav,74,56,38,33,Medium,Married,Secondary,Graduate,Manager,Business,Mechanical,MBA,0.7000000000000001,High
Pooja Verma,23,40,67,35,Medium,Single,Postgraduate,No formal education,Clerk,Farmer,IT,B.Com,0.7000000000000001,High
Arjun Verma,85,85,94,74,Low,Married,Postgraduate,No formal education,Laborer,Teacher,IT,M.Tech,0.3,Low
Vikas Iyer,30,29,48,94,High,Married,Postgraduate,No formal education,Manager,Unemployed,Biotech,MBA,0.45,Medium
Pari Menon,86,76,60,64,Low,Married,Primary,Secondary,Business,Clerk,ECE,BA,0.45,Medium
Aditya Iyer,60,34,50,86,High,Married,Secondary,No formal education,Farmer,Business,Mechanical,M.Tech,0.25,Low
Prisha Bose,81,97,49,87,Medium,Single,Postgraduate,Primary,Laborer,Clerk,Biotech,MBA,0.2,Low
Pooja Patel,37,97,53,66,Medium,Married,No formal education,No formal education,Laborer,Laborer,Electrical,B.Sc,0.2,Low
Diya Rao,93,83,100,55,Low,Married,No formal education,Primary,Laborer,Farmer,Mechanical,MBA,0.45,Medium
Anjali Yadav,80,32,36,34,Medium,Single,Primary,No formal education,Laborer,Teacher,Civil,B.Com,0.7000000000000001,High
Sai Verma,36,71,91,60,High,Married,No formal education,Secondary,Farmer,Business,Biotech,B.Tech,0.25,Low
Riya Gupta,29,65,77,82,High,Married,Graduate,Secondary,Teacher,Manager,Biotech,B.Sc,0.25,Low
Manish Mehta,95,85,30,49,Low,Married,Graduate,Graduate,Manager,Business,ECE,MBA,0.65,Medium
Neha Nair,95,55,32,59,Medium,Married,Secondary,No formal education,Engineer,Laborer,Mechanical,BA,0.35,Low
Rahul Das,60,42,38,35,High,Single,Graduate,Postgraduate,Business,Engineer,CSE,B.Com,0.6000000000000001,Medium
Swati Malhotra,56,41,35,66,Medium,Married,Graduate,Primary,Engineer,Teacher,Mechanical,MBA,0.35,Low
Priya Sharma,33,49,55,48,Low,Single,Postgraduate,Postgraduate,Unemployed,Teacher,Electrical,B.Tech,0.8,High
Vikas Sharma,89,88,44,30,Medium,Single,Secondary,Primary,Laborer,Engineer,Biotech,BA,0.55,Medium
Kiara Reddy,86,36,78,67,Low,Single,Graduate,Graduate,Engineer,Manager,CSE,B.Sc,0.3,Low
Kritika Das,55,34,65,40,High,Single,No formal education,Secondary,Business,Teacher,Mechanical,BA,0.6000000000000001,Medium
Priya Menon,100,85,29,70,Low,Married,No formal education,Postgraduate,Clerk,Business,IT,MBA,0.3,Low
Aarav Malhotra,100,24,100,31,Low,Single,Postgraduate,Graduate,Clerk,Clerk,Mechanical,BA,0.65,Medium
Varun Menon,39,82,43,93,Medium,Single,Primary,No formal education,Unemployed,Clerk,Civil,B.Tech,0.35,Low
Akash Reddy,82,91,98,56,High,Single,No formal education,Graduate,Laborer,Engineer,Biotech,MBA,0.25,Low
Sai Agarwal,50,64,81,97,High,Single,Secondary,Primary,Manager,Engineer,Civil,M.Tech,0.1,Low
Diya Agarwal,70,96,65,99,Medium,Married,No formal education,Primary,Engineer,Farmer,Civil,BA,0.2,Low
Anjali Gupta,61,51,74,44,Low,Married,Secondary,No formal education,Laborer,Business,Biotech,B.Sc,0.65,Medium
Sai Sharma,81,82,96,82,High,Single,No formal education,Secondary,Clerk,Engineer,IT,BA,0.1,Low
Neha Kapoor,27,91,61,63,High,Married,Graduate,Graduate,Laborer,Manager,Civil,B.Com,0.4,Low
Kritika Das,26,54,82,58,Medium,Single,Secondary,Graduate,Clerk,Laborer,Electrical,B.Sc,0.5,Medium
Kiara Yadav,88,46,100,44,High,Married,Primary,Postgraduate,Unemployed,Unemployed,IT,BA,0.45,Medium
Varun Agarwal,31,62,65,100,Low,Single,Postgraduate,Primary,Clerk,Business,ECE,MBA,0.45,Medium
Ira Sharma,70,49,57,50,Medium,Married,Graduate,Primary,Unemployed,Clerk,CSE,B.Tech,0.5,Medium
Meera Rao,87,33,84,80,Medium,Single,Primary,Secondary,Unemployed,Engineer,ECE,M.Tech,0.2,Low
Rahul Yadav,51,24,54,45,Medium,Married,Primary,Secondary,Farmer,Farmer,CSE,MBA,0.7000000000000001,High
Pari Menon,73,22,21,99,High,Single,No formal education,Postgraduate,Clerk,Laborer,IT,MBA,0.45,Medium
Pari Reddy,59,61,74,95,High,Single,Secondary,Secondary,Clerk,Manager,CSE,B.Com,0.1,Low
Anika Bose,93,80,68,67,Medium,Single,Primary,Graduate,Manager,Engineer,Mechanical,M.Tech,0.2,Low
Ishaan Mishra,88,84,51,78,Low,Married,Graduate,Secondary,Manager,Farmer,ECE,MBA,0.3,Low
Meera Das,23,70,49,87,Medium,Married,Postgraduate,No formal education,Business,Engineer,ECE,M.Tech,0.35,Low
Meera Reddy,30,32,91,51,Low,Married,Postgraduate,Primary,Teacher,Farmer,Civil,MBA,0.6000000000000001,Medium
Sakshi Menon,80,86,92,59,Low,Married,Secondary,Graduate,Business,Engineer,IT,B.Sc,0.45,Medium
Krishna Rao,24,61,92,82,Low,Married,Primary,Postgraduate,Manager,Manager,Mechanical,M.Tech,0.45,Medium
Rahul Menon,50,61,79,91,High,Single,No formal education,Graduate,Laborer,Farmer,ECE,B.Tech,0.1,Low
Riya Das,40,86,35,51,Low,Married,No formal education,No formal education,Manager,Laborer,ECE,M.Tech,0.6000000000000001,Medium
Aadhya Singh,87,82,37,100,Medium,Married,No formal education,Secondary,Laborer,Farmer,Mechanical,M.Tech,0.2,Low
Rahul Singh,54,86,61,77,High,Single,Primary,Secondary,Business,Clerk,Electrical,MBA,0.1,Low
Meera Menon,52,80,79,56,Medium,Single,Primary,Postgraduate,Unemployed,Manager,Mechanical,BA,0.35,Low
Saanvi Mehta,42,39,80,38,Low,Married,Primary,Primary,Manager,Farmer,Mechanical,B.Tech,0.8,High
Diya Sharma,27,99,79,50,Low,Married,Postgraduate,Primary,Unemployed,Business,ECE,B.Com,0.45,Medium
Rakesh Bose,56,74,94,69,Medium,Married,Secondary,Postgraduate,Farmer,Clerk,Electrical,B.Sc,0.2,Low
Anjali Gupta,33,47,55,52,Medium,Single,Primary,Postgraduate,Business,Laborer,Electrical,MBA,0.5,Medium
Karan Kapoor,97,55,98,90,Low,Single,No formal education,Primary,Farmer,Clerk,IT,MBA,0.3,Low
Sakshi Yadav,38,38,41,90,Low,Married,No formal education,No formal education,Manager,Teacher,Civil,M.Tech,0.65,Medium
Vihaan Sharma,80,61,58,94,Low,Single,Postgraduate,Graduate,Laborer,Laborer,Biotech,BA,0.3,Low
Pari Iyer,65,59,86,70,High,Single,Postgraduate,Primary,Engineer,Teacher,Biotech,B.Sc,0.1,Low
Riya Verma,75,91,76,92,High,Married,No formal education,Postgraduate,Business,Laborer,ECE,B.Tech,0.1,Low
Shreya Nair,66,79,64,84,Low,Single,Graduate,Secondary,Unemployed,Teacher,ECE,BA,0.3,Low
Varun Menon,66,87,44,30,High,Married,Secondary,No formal education,Engineer,Business,Electrical,B.Tech,0.45,Medium
Ira Singh,97,54,24,65,High,Married,Graduate,No formal education,Engineer,Engineer,Biotech,B.Tech,0.25,Low
Prisha Malhotra,93,23,80,88,Medium,Single,Graduate,Postgraduate,Unemployed,Farmer,Mechanical,B.Tech,0.2,Low
Reyansh Verma,98,39,42,46,Low,Married,No formal education,No formal education,Unemployed,Manager,Mechanical,B.Tech,0.8,High
Kritika Mishra,89,55,44,32,Medium,Married,Primary,Postgraduate,Unemployed,Business,Biotech,BA,0.55,Medium
Siddharth Yadav,73,27,28,54,High,Single,Secondary,No formal education,Manager,Teacher,CSE,B.Com,0.4,Low
Prisha Agarwal,97,45,84,82,Low,Single,Secondary,Secondary,Farmer,Business,Mechanical,BA,0.3,Low
Riya Yadav,92,31,92,89,Low,Single,No formal education,Primary,Teacher,Farmer,Mechanical,MBA,0.3,Low
Sai Malhotra,100,22,41,31,Low,Married,Graduate,No formal education,Engineer,Clerk,IT,M.Tech,0.8,High
Diya Nair,44,36,59,36,Medium,Married,Primary,Secondary,Business,Teacher,Civil,B.Sc,0.7000000000000001,High
Ananya Nair,44,54,45,52,Medium,Married,Graduate,Secondary,Manager,Farmer,Mechanical,MBA,0.5,Medium
Suresh Mishra,66,64,86,87,High,Single,No formal education,Postgraduate,Teacher,Laborer,Electrical,MBA,0.1,Low
Aadhya Chopra,46,75,64,66,Low,Married,Postgraduate,Postgraduate,Farmer,Engineer,Electrical,B.Sc,0.3,Low
Vihaan Rao,53,47,79,63,Low,Single,Postgraduate,Primary,Teacher,Manager,Civil,MBA,0.6000000000000001,Medium
Meera Kumar,61,67,92,78,High,Single,Secondary,No formal education,Unemployed,Business,ECE,BA,0.1,Low
Ishaan Mishra,80,62,63,42,Low,Married,Secondary,Primary,Teacher,Manager,IT,B.Tech,0.65,Medium
Sai Agarwal,76,98,78,85,High,Married,Graduate,Primary,Business,Engineer,Electrical,B.Com,0.1,Low
Sai Menon,81,71,58,35,Low,Single,Graduate,Graduate,Laborer,Engineer,Electrical,B.Tech,0.65,Medium
Neha Patel,40,85,41,68,High,Single,Postgraduate,Primary,Business,Teacher,IT,B.Tech,0.25,Low
Pooja Nair,31,59,38,74,Medium,Married,Primary,Graduate,Teacher,Unemployed,ECE,B.Sc,0.35,Low
Reyansh Reddy,58,59,30,53,Low,Single,Graduate,No formal education,Teacher,Clerk,Biotech,MBA,0.6000000000000001,Medium
Aarav Yadav,67,20,81,50,Medium,Single,Graduate,Postgraduate,Clerk,Laborer,Civil,M.Tech,0.5,Medium
Prisha Verma,68,79,51,42,Medium,Single,Secondary,Primary,Business,Laborer,Mechanical,M.Tech,0.55,Medium
Diya Verma,74,96,70,98,Low,Married,Graduate,Postgraduate,Clerk,Unemployed,Electrical,B.Sc,0.3,Low
Pooja Yadav,50,67,66,73,High,Single,Postgraduate,Postgraduate,Farmer,Laborer,Biotech,B.Sc,0.1,Low
Vikas Patel,37,83,44,35,Low,Married,Graduate,No formal education,Laborer,Business,Biotech,B.Sc,0.8,High
Pooja Chopra,74,39,56,69,Medium,Married,No formal education,Secondary,Teacher,Laborer,ECE,BA,0.35,Low
Rahul Nair,86,33,79,40,Medium,Single,Graduate,No formal education,Business,Teacher,ECE,MBA,0.55,Medium
Anika Reddy,84,69,78,31,Medium,Married,Graduate,No formal education,Laborer,Engineer,Mechanical,M.Tech,0.55,Medium
Neha Malhotra,34,97,77,94,Medium,Married,Secondary,Postgraduate,Farmer,Business,IT,B.Sc,0.2,Low
Arjun Mishra,74,88,69,40,Low,Single,Secondary,Postgraduate,Clerk,Engineer,Electrical,MBA,0.65,Medium
Saanvi Mishra,78,75,26,89,Medium,Single,No formal education,Graduate,Business,Manager,CSE,MBA,0.35,Low
Aarav Sharma,67,52,74,73,High,Married,No formal education,Postgraduate,Teacher,Engineer,Mechanical,B.Com,0.1,Low
Vihaan Sharma,73,22,77,71,Medium,Single,Postgraduate,No formal education,Unemployed,Business,Electrical,M.Tech,0.35,Low
Aarav Patel,70,51,42,40,High,Single,Primary,Primary,Laborer,Manager,Mechanical,B.Com,0.6000000000000001,Medium
Myra Yadav,78,99,51,97,High,Married,No formal education,No formal education,Business,Business,CSE,B.Sc,0.1,Low
Vihaan Mehta,97,32,68,95,High,Single,Secondary,Secondary,Laborer,Laborer,CSE,B.Sc,0.1,Low
Krishna Singh,52,30,75,44,Low,Married,Secondary,Postgraduate,Unemployed,Clerk,Mechanical,MBA,0.8,High
Shreya Bose,80,47,75,65,High,Single,Secondary,Postgraduate,Laborer,Unemployed,ECE,M.Tech,0.1,Low
Vivaan Singh,56,54,20,82,Low,Single,Graduate,Primary,Engineer,Engineer,Civil,MBA,0.45,Medium
Aarav Patel,60,32,48,58,Low,Married,Primary,No formal education,Manager,Engineer,Electrical,BA,0.6000000000000001,Medium
Sai Yadav,96,62,89,79,Medium,Single,Secondary,Secondary,Business,Business,IT,BA,0.2,Low
Anjali Mehta,39,79,83,56,High,Single,Graduate,Secondary,Unemployed,Laborer,Biotech,MBA,0.25,Low
Reyansh Iyer,30,100,82,74,Low,Single,Postgraduate,Secondary,Engineer,Engineer,IT,B.Com,0.3,Low
Shreya Patel,77,79,23,49,High,Single,Postgraduate,Secondary,Laborer,Laborer,IT,B.Tech,0.6000000000000001,Medium
Meera Gupta,56,91,82,60,Medium,Single,Graduate,Postgraduate,Farmer,Farmer,Civil,B.Sc,0.35,Low
Amit Rao,47,34,93,67,Low,Single,Graduate,Postgraduate,Business,Laborer,IT,B.Sc,0.45,Medium
Rohan Singh,73,96,55,70,Medium,Single,Secondary,Postgraduate,Clerk,Laborer,IT,BA,0.2,Low
Prisha Yadav,83,79,56,87,Low,Single,Graduate,Secondary,Business,Unemployed,IT,BA,0.3,Low
Suresh Das,42,32,69,83,Medium,Married,Primary,No formal education,Teacher,Clerk,Electrical,MBA,0.35,Low
Prisha Kapoor,84,30,96,82,Low,Married,Postgraduate,Primary,Manager,Teacher,Biotech,B.Tech,0.3,Low
Manish Patel,67,22,96,79,High,Single,Primary,Graduate,Clerk,Business,ECE,BA,0.1,Low
Sakshi Chopra,45,61,36,67,Low,Single,Primary,Postgraduate,Manager,Manager,ECE,M.Tech,0.45,Medium
Vikas Agarwal,97,76,50,52,Medium,Single,Postgraduate,Secondary,Clerk,Teacher,Civil,M.Tech,0.35,Low
Anjali Reddy,28,20,24,82,High,Married,Graduate,No formal education,Engineer,Laborer,Biotech,MBA,0.45,Medium
Varun Agarwal,35,97,88,33,Medium,Married,No formal education,Secondary,Unemployed,Laborer,Mechanical,BA,0.55,Medium
Pari Kumar,85,100,76,84,Low,Single,Primary,Secondary,Teacher,Farmer,Mechanical,BA,0.3,Low
Akash Kapoor,63,38,51,91,Low,Married,No formal education,Secondary,Manager,Farmer,Biotech,BA,0.45,Medium
Priya Nair,51,53,63,67,High,Married,Secondary,Graduate,Engineer,Engineer,Electrical,B.Tech,0.25,Low
Kiara Rao,37,38,86,66,Low,Single,Secondary,Postgraduate,Engineer,Business,Mechanical,M.Tech,0.45,Medium
Aditya Bose,40,92,59,90,High,Married,Secondary,Primary,Teacher,Teacher,Electrical,B.Com,0.1,Low
Reyansh Chopra,69,52,49,33,Low,Married,Primary,Postgraduate,Engineer,Unemployed,Mechanical,M.Tech,0.8,High
Kritika Nair,85,86,71,91,High,Single,Secondary,Primary,Business,Business,Civil,BA,0.1,Low
Krishna Malhotra,41,87,81,52,Medium,Married,No formal education,No formal education,Clerk,Business,Mechanical,B.Sc,0.35,Low
Diya Malhotra,48,39,55,45,High,Single,Secondary,Graduate,Unemployed,Manager,IT,M.Tech,0.6000000000000001,Medium
Aarav Mishra,87,49,45,76,High,Single,Graduate,No formal education,Farmer,Business,Mechanical,MBA,0.1,Low
Myra Yadav,88,88,30,37,Medium,Single,Primary,Secondary,Clerk,Teacher,ECE,M.Tech,0.55,Medium
Sakshi Gupta,78,42,25,64,High,Married,No formal education,Primary,Teacher,Farmer,Electrical,B.Com,0.4,Low
Manish Iyer,27,46,49,61,High,Married,Graduate,No formal education,Business,Unemployed,IT,M.Tech,0.4,Low
Vikas Reddy,29,45,81,44,Medium,Single,Graduate,Primary,Clerk,Farmer,Electrical,BA,0.7000000000000001,High
Anjali Rao,58,92,21,85,Low,Married,Primary,Postgraduate,Unemployed,Manager,Mechanical,BA,0.45,Medium
Riya Bose,96,54,83,52,Medium,Married,Postgraduate,Secondary,Engineer,Engineer,IT,MBA,0.35,Low
Manish Agarwal,51,63,55,94,Medium,Married,No formal education,Primary,Unemployed,Manager,Mechanical,MBA,0.35,Low
Arjun Gupta,80,83,40,52,Low,Married,Secondary,No formal education,Business,Manager,Biotech,M.Tech,0.45,Medium
Manish Menon,88,43,44,43,Low,Single,Secondary,Postgraduate,Business,Engineer,IT,MBA,0.8,High
Rakesh Malhotra,80,33,58,56,High,Single,Secondary,Primary,Laborer,Clerk,IT,B.Sc,0.4,Low
Meera Reddy,40,98,40,71,High,Married,Postgraduate,Graduate,Clerk,Engineer,Mechanical,BA,0.25,Low
Manish Bose,58,67,38,69,Medium,Married,Secondary,Graduate,Laborer,Engineer,Electrical,BA,0.35,Low
Anjali Mehta,73,20,71,37,Medium,Married,Primary,Graduate,Unemployed,Engineer,IT,M.Tech,0.7000000000000001,High
Amit Nair,45,46,52,67,Medium,Single,Secondary,Graduate,Business,Laborer,Electrical,MBA,0.35,Low
Vivaan Mishra,45,47,99,94,Medium,Married,No formal education,No formal education,Teacher,Clerk,Mechanical,M.Tech,0.2,Low
Vikas Menon,81,95,80,35,High,Married,Graduate,Primary,Laborer,Engineer,CSE,B.Tech,0.45,Medium
Siddharth Nair,27,63,55,98,Medium,Married,Secondary,No formal education,Teacher,Manager,Biotech,B.Tech,0.35,Low
Prisha Agarwal,61,72,39,49,High,Married,Postgraduate,Primary,Manager,Farmer,ECE,B.Com,0.6000000000000001,Medium
Vikas Iyer,93,89,53,97,Medium,Single,Primary,No formal education,Business,Business,IT,BA,0.2,Low
Swati Nair,47,43,61,89,Low,Married,Secondary,Secondary,Engineer,Clerk,Mechanical,MBA,0.45,Medium
Suresh Kapoor,22,37,35,82,Medium,Married,Graduate,No formal education,Business,Unemployed,CSE,MBA,0.55,Medium
Swati Nair,75,24,84,71,High,Married,Secondary,Postgraduate,Farmer,Business,Biotech,B.Tech,0.1,Low
Pooja Das,92,31,91,44,High,Single,Postgraduate,No formal education,Clerk,Manager,IT,B.Tech,0.45,Medium
Neha Kumar,75,55,79,87,High,Single,Secondary,No formal education,Business,Teacher,Civil,MBA,0.1,Low
Kritika Sharma,75,22,71,67,Low,Married,No formal education,No formal education,Business,Clerk,Civil,B.Sc,0.45,Medium
Aditya Nair,53,48,94,71,High,Married,Primary,Postgraduate,Teacher,Business,ECE,B.Sc,0.1,Low
Rahul Verma,46,59,43,42,Low,Single,Primary,Postgraduate,Farmer,Business,Mechanical,B.Com,0.8,High
Rakesh Mishra,49,46,45,68,Low,Married,Secondary,Primary,Business,Clerk,CSE,B.Sc,0.45,Medium
Ishaan Kumar,76,35,68,33,Medium,Single,Graduate,No formal education,Manager,Manager,Civil,B.Sc,0.7000000000000001,High
Ira Rao,46,68,95,45,Low,Single,Postgraduate,Postgraduate,Teacher,Farmer,IT,B.Sc,0.65,Medium
Ira Yadav,35,82,97,75,High,Married,Graduate,Primary,Farmer,Clerk,IT,MBA,0.1,Low
Anjali Yadav,66,81,52,95,Low,Married,No formal education,No formal education,Laborer,Laborer,Civil,B.Tech,0.3,Low
Saanvi Nair,65,66,59,38,Medium,Married,Primary,No formal education,Manager,Laborer,CSE,B.Com,0.55,Medium
Prisha Patel,61,25,38,61,Low,Single,Primary,Postgraduate,Teacher,Teacher,Biotech,BA,0.6000000000000001,Medium
Diya Das,24,27,96,56,High,Married,Secondary,Postgraduate,Teacher,Laborer,Civil,B.Sc,0.4,Low
